id listku(veskera vyuka pro celou paralelku - vice hodin za tyden);id podlistku(konkretni vyuka v nejaky den a hodinu);kod predmetu;nazev;den(1=po);cas(min od 0:00);mistnost;delka(min);prvni tyden vyuky;prvni den vyuky pro jednorazovou;pocet tydnu vyuky;ctrnactideni vyuka;ucitele
;R110722308;;;2;540;S8;90;;2.3.2021;14;;Hubièka Jan, doc. Mgr., Ph.D.
;R110723398;;;2;1140;S5;120;;16.3.2021;1;;Jeek Pavel, Mgr., Ph.D.
;R110723399;;;2;1140;S5;120;;23.3.2021;1;;Jeek Pavel, Mgr., Ph.D.
;R110723400;;;2;1140;S5;120;;30.3.2021;1;;Jeek Pavel, Mgr., Ph.D.
;R110723401;;;2;1140;S5;120;;6.4.2021;1;;Jeek Pavel, Mgr., Ph.D.
;R110723402;;;2;1140;S5;120;;13.4.2021;1;;Jeek Pavel, Mgr., Ph.D.
;R110723403;;;2;1140;S5;120;;20.4.2021;1;;Jeek Pavel, Mgr., Ph.D.
;R110723404;;;2;1140;S5;120;;27.4.2021;1;;Jeek Pavel, Mgr., Ph.D.
;R110723405;;;2;1140;S5;120;;4.5.2021;1;;Jeek Pavel, Mgr., Ph.D.
;R110723406;;;2;1140;S5;120;;11.5.2021;1;;Jeek Pavel, Mgr., Ph.D.
;R110723407;;;2;1140;S5;120;;18.5.2021;1;;Jeek Pavel, Mgr., Ph.D.
;R110723408;;;2;1140;S5;120;;25.5.2021;1;;Jeek Pavel, Mgr., Ph.D.
;R110723409;;;2;1140;S5;120;;1.6.2021;1;;Jeek Pavel, Mgr., Ph.D.
;R110726552;;;2;640;S5;90;;1.6.2021;1;;Fiala Jiøí, doc. RNDr., Ph.D.
;R110737372;;;2;600;S510;120;;1.6.2021;1;;Rosa Rudolf, Mgr., Ph.D.
;R110738709;;;2;530;S519;105;;18.5.2021;1;;Hladík Milan, doc. Mgr., Ph.D.
;R110739144;;;2;530;S517;105;;25.5.2021;1;;Hladík Milan, doc. Mgr., Ph.D.
;R110739949;;;2;780;S517;150;;25.5.2021;1;;Hladík Milan, doc. Mgr., Ph.D.
;R110739960;;;2;750;S11;90;;25.5.2021;1;;Peka Ladislav, Mgr., Ph.D.
;R110740815;;;2;530;S517;105;;1.6.2021;1;;Hladík Milan, doc. Mgr., Ph.D.
;R110740827;;;2;840;S5;90;;1.6.2021;1;;Valtr Pavel, doc. RNDr., Dr.
RG110745573;R110745574;;;2;660;SW2;240;;15.6.2021;1;;Pergel Martin, RNDr., Ph.D.
RG110748518;R110748520;;;2;440;SU2;795;;10.8.2021;1;;Forstová Lenka, Mgr.
RG110748518;R110748527;;;2;440;SU2;795;;17.8.2021;1;;Forstová Lenka, Mgr.
RG110748518;R110748534;;;2;440;SU2;795;;24.8.2021;1;;Forstová Lenka, Mgr.
RG110748518;R110748541;;;2;440;SU2;795;;31.8.2021;1;;Forstová Lenka, Mgr.
RG110748546;R110748548;;;2;440;SW2;795;;10.8.2021;1;;Forstová Lenka, Mgr.
RG110748546;R110748555;;;2;440;SW2;795;;17.8.2021;1;;Forstová Lenka, Mgr.
RG110748546;R110748562;;;2;440;SW2;795;;24.8.2021;1;;Forstová Lenka, Mgr.
RG110748546;R110748569;;;2;440;SW2;795;;31.8.2021;1;;Forstová Lenka, Mgr.
RG110748574;R110748576;;;2;440;SW1;795;;10.8.2021;1;;Forstová Lenka, Mgr.
RG110748574;R110748583;;;2;440;SW1;795;;17.8.2021;1;;Forstová Lenka, Mgr.
RG110748574;R110748590;;;2;440;SW1;795;;24.8.2021;1;;Forstová Lenka, Mgr.
RG110748574;R110748597;;;2;440;SW1;795;;31.8.2021;1;;Forstová Lenka, Mgr.
RG110749566;R110749567;;;2;830;S6;100;;22.6.2021;1;;Hladík Milan, doc. Mgr., Ph.D.
RG110749702;R110749703;;;2;840;SW2;120;;22.6.2021;1;;Pergel Martin, RNDr., Ph.D.
RG110749798;R110749799;;;2;1080;S8;75;;22.6.2021;1;;Tancer Martin, doc. RNDr., Ph.D.
RG110750531;R110750532;;;2;840;S510;60;;13.7.2021;1;;Barták Roman, prof. RNDr., Ph.D.
RG110751858;R110751859;;;2;770;S10;250;;13.7.2021;1;;Hladík Milan, doc. Mgr., Ph.D.
RG110751906;R110751907;;;2;540;S5;240;;27.7.2021;1;;Hubièka Jan, doc. Mgr., Ph.D.
RG110754394;R110754396;;;2;440;S9;795;;3.8.2021;1;;Hovorka Martin, Ing.
RG110754394;R110754403;;;2;440;S9;795;;10.8.2021;1;;Hovorka Martin, Ing.
RG110754394;R110754410;;;2;440;S9;795;;17.8.2021;1;;Hovorka Martin, Ing.
RG110755955;R110755956;;;2;420;S510;90;;10.8.2021;1;;Vidová Hladká Barbora, doc. Mgr., Ph.D.
20bNAIL065p1;20bNAIL065p1;NAIL065;Evoluèní robotika;3;740;S9;90;1;;14;;Mráz Frantiek, RNDr., CSc.
20bNAIL065x01;20bNAIL065x01;NAIL065;Evoluèní robotika;3;940;SW1;90;1;;14;liche;Mráz Frantiek, RNDr., CSc.
20bNAIL068p1;20bNAIL068p1;NAIL068;Umìlé bytosti;3;640;S5;90;1;;14;;Brom Cyril, doc. Mgr., Ph.D., Gemrot Jakub, Mgr., Ph.D.
